类别,名称或地点,本地文件,宽,高,来源类型,来源网页,原图链接,说明
官方事件 CG,事件 CG 21,03-official-event-cg/am_g_21.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_g_21.jpg,
官方事件 CG,事件 CG 22,03-official-event-cg/am_g_22.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_g_22.jpg,
官方事件 CG,事件 CG 23,03-official-event-cg/am_g_23.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_g_23.jpg,
官方事件 CG,事件 CG 24,03-official-event-cg/am_g_24.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_g_24.jpg,
官方事件 CG,事件 CG 3,03-official-event-cg/am_g_3.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_g_3.jpg,
官方事件 CG,事件 CG 4,03-official-event-cg/am_g_4.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_g_4.jpg,
官方事件 CG,事件 CG 5,03-official-event-cg/am_g_5.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_g_5.jpg,
官方事件 CG,事件 CG 6,03-official-event-cg/am_g_6.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_g_6.jpg,
官方事件 CG,事件 CG 7,03-official-event-cg/am_g_7.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_g_7.jpg?a,
官方事件 CG,事件 CG 8,03-official-event-cg/am_g_8.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_g_8.jpg?a,
官方事件 CG,事件 CG 9,03-official-event-cg/am_g_9.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_g_9.jpg,
官方壁纸、头像与横幅,【メインビジュアル1】,04-official-sns/sns2_img6.jpg,1500,500,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/sns2_img6.jpg,
官方壁纸、头像与横幅,【メインビジュアル2】,04-official-sns/sns2_img7.jpg,1500,500,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/sns2_img7.jpg,
官方壁纸、头像与横幅,【淡雪陽彩】,04-official-sns/sns2_icon3.jpg,800,800,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/sns2_icon3.jpg,
官方壁纸、头像与横幅,【淡雪陽彩】,04-official-sns/sns2_img3.jpg,1179,2556,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/sns2_img3.jpg,
官方壁纸、头像与横幅,【淡雪陽彩】,04-official-sns/hiiro_sns_icon1.jpg,400,400,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/hiiro_sns_icon1.jpg,
官方壁纸、头像与横幅,【白渡小詠】,04-official-sns/sns2_icon4.jpg,800,800,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/sns2_icon4.jpg,
官方壁纸、头像与横幅,【白渡小詠】,04-official-sns/sns2_img4.jpg,1179,2556,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/sns2_img4.jpg,
官方壁纸、头像与横幅,【白渡小詠】,04-official-sns/koyomi_sns_icon1.jpg,400,400,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/koyomi_sns_icon1.jpg,
官方壁纸、头像与横幅,【総羽愛乃】,04-official-sns/sns2_icon2.jpg,800,800,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/sns2_icon2.jpg,
官方壁纸、头像与横幅,【総羽愛乃】,04-official-sns/sns2_img2.jpg,1179,2556,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/sns2_img2.jpg,
官方壁纸、头像与横幅,【総羽愛乃】,04-official-sns/aino_sns_icon1.jpg,400,400,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/aino_sns_icon1.jpg,
官方壁纸、头像与横幅,【辻倉朱比華】,04-official-sns/sns2_img1.jpg,1179,2556,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/sns2_img1.jpg,
官方壁纸、头像与横幅,【辻倉朱比華】,04-official-sns/sns2_icon1.jpg,800,800,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/sns2_icon1.jpg,
官方壁纸、头像与横幅,【辻倉朱比華】,04-official-sns/spica_sns_icon1.jpg,400,400,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/spica_sns_icon1.jpg,
官方壁纸、头像与横幅,【速川六花】,04-official-sns/sns2_icon5.jpg,800,800,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/sns2_icon5.jpg,
官方壁纸、头像与横幅,【速川六花】,04-official-sns/sns2_img5.jpg,1179,2556,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/sns2_img5.jpg,
